Year,Region [Note 1],PES area,Credit: Average variable unit price (£/kWh)[Note 2],Credit: Average fixed cost (£/year)[Note 3],Direct debit: Average variable unit price (£/kWh)[Note 2],Direct debit: Average fixed cost (£/year)[Note 3],Prepayment: Average variable unit price (£/kWh)[Note 2],Prepayment: Average fixed cost (£/year)[Note 3],Overall: Average variable unit price (£/kWh)[Note 2],Overall: Average fixed cost (£/year)[Note 3],
2010,Aberdeen,Northern Scotland,0.12,61.64,0.11,49.32,0.13,23.80,0.12,48.79,
2010,Belfast,Northern Ireland,0.15,0.00,0.14,0.00,0.15,0.00,0.15,0.00,
2010,Birmingham,West Midlands,0.12,39.05,0.11,23.40,0.12,62.96,0.11,34.62,
2010,Canterbury,South East,0.11,53.37,0.11,39.21,0.11,58.16,0.11,45.49,
2010,Cardiff,South Wales,0.12,52.17,0.12,39.98,0.14,13.58,0.12,39.02,
2010,Edinburgh,Southern Scotland,0.12,61.13,0.11,39.88,0.12,60.21,0.12,49.83,
2010,Ipswich,Eastern,0.11,70.45,0.11,45.14,0.11,72.87,0.11,56.46,
2010,Leeds,Yorkshire,0.11,41.59,0.11,24.66,0.11,56.62,0.11,34.95,
2010,Liverpool,Merseyside & North Wales,0.12,63.45,0.11,39.46,0.12,62.53,0.11,51.26,
2010,London,London,0.11,58.66,0.11,38.30,0.11,65.64,0.11,52.44,
2010,Manchester,North West,0.11,61.03,0.10,33.56,0.11,67.90,0.11,47.72,
2010,Newcastle,North East,0.12,43.73,0.11,29.53,0.11,62.29,0.11,38.90,
2010,Nottingham,East Midlands,0.11,65.07,0.10,42.56,0.11,70.37,0.11,53.63,
2010,Plymouth,South West,0.12,50.09,0.11,33.48,0.12,54.80,0.12,41.63,
2010,Southampton,Southern,0.12,55.16,0.11,41.38,0.13,35.64,0.11,44.86,
2010,United Kingdom,United Kingdom,0.12,53.82,0.11,35.98,0.12,53.56,0.11,44.50,
2011,Aberdeen,Northern Scotland,0.12,71.29,0.12,59.72,0.14,31.41,0.12,58.22,
2011,Belfast,Northern Ireland,0.16,0.00,0.15,0.00,0.15,0.00,0.16,0.00,
2011,Birmingham,West Midlands,0.12,57.68,0.12,39.49,0.12,65.10,0.12,49.21,
2011,Canterbury,South East,0.12,65.12,0.11,53.10,0.12,64.94,0.12,57.78,
2011,Cardiff,South Wales,0.13,64.00,0.12,52.80,0.14,23.18,0.13,50.51,
2011,Edinburgh,Southern Scotland,0.12,80.38,0.12,58.30,0.12,76.66,0.12,67.81,
2011,Ipswich,Eastern,0.12,80.68,0.11,55.87,0.12,76.75,0.12,66.16,
2011,Leeds,Yorkshire,0.12,57.07,0.11,39.02,0.12,66.42,0.12,48.89,
2011,Liverpool,Merseyside & North Wales,0.13,84.64,0.12,60.04,0.12,87.24,0.12,72.67,
2011,London,London,0.12,63.88,0.12,46.71,0.12,64.37,0.12,57.12,
2011,Manchester,North West,0.12,74.81,0.12,48.91,0.12,78.53,0.12,61.57,
2011,Newcastle,North East,0.12,59.08,0.12,41.42,0.12,66.14,0.12,50.34,
2011,Nottingham,East Midlands,0.12,75.61,0.11,52.22,0.12,75.00,0.12,62.66,
2011,Plymouth,South West,0.13,62.96,0.12,49.10,0.13,64.87,0.13,55.30,
2011,Southampton,Southern,0.12,64.09,0.12,51.75,0.13,39.95,0.12,53.97,
2011,United Kingdom,United Kingdom,0.12,66.36,0.12,49.25,0.13,60.97,0.12,56.38,
2012,Aberdeen,Northern Scotland,0.13,83.78,0.13,64.04,0.14,44.67,0.13,65.98,
2012,Belfast,Northern Ireland,0.17,0.00,0.16,0.00,0.16,0.00,0.17,0.00,
2012,Birmingham,West Midlands,0.13,60.82,0.12,45.11,0.13,62.64,0.13,52.77,
2012,Canterbury,South East,0.13,68.99,0.12,56.82,0.13,62.85,0.12,60.86,
2012,Cardiff,South Wales,0.14,76.01,0.13,59.07,0.15,40.80,0.13,60.15,
2012,Edinburgh,Southern Scotland,0.13,87.63,0.12,61.87,0.13,79.85,0.12,71.99,
2012,Ipswich,Eastern,0.12,82.81,0.12,59.20,0.13,73.63,0.12,68.28,
2012,Leeds,Yorkshire,0.13,60.08,0.12,44.19,0.13,64.31,0.13,52.33,
2012,Liverpool,Merseyside & North Wales,0.13,94.14,0.13,66.55,0.13,91.93,0.13,79.34,
2012,London,London,0.13,65.72,0.12,50.00,0.13,61.44,0.13,58.43,
2012,Manchester,North West,0.13,79.82,0.12,56.32,0.13,75.92,0.12,66.53,
2012,Newcastle,North East,0.13,62.85,0.12,46.76,0.13,66.21,0.13,54.31,
2012,Nottingham,East Midlands,0.12,79.23,0.12,57.08,0.13,72.62,0.12,66.05,
2012,Plymouth,South West,0.14,67.86,0.13,55.55,0.14,64.39,0.13,60.18,
2012,Southampton,Southern,0.13,74.58,0.12,57.71,0.14,47.76,0.12,61.12,
2012,United Kingdom,United Kingdom,0.13,71.50,0.12,54.31,0.13,62.37,0.13,60.72,
2013,East Midlands,East Midlands,0.13,76.57,0.12,68.38,0.14,68.64,0.13,70.83,
2013,Eastern,Eastern,0.13,77.67,0.12,67.70,0.14,67.77,0.13,70.91,
2013,London,London,0.14,65.92,0.13,61.86,0.14,60.57,0.13,63.12,
2013,Merseyside & North Wales,Merseyside & North Wales,0.14,83.74,0.14,72.26,0.14,78.70,0.14,76.58,
2013,North East,North East,0.14,60.42,0.13,58.67,0.14,62.95,0.13,59.84,
2013,North Scotland,North Scotland,0.15,89.09,0.14,62.98,0.16,48.10,0.14,67.10,
2013,North West,North West,0.14,74.59,0.13,68.29,0.14,69.56,0.13,70.35,
2013,Northern Ireland,Northern Ireland,0.17,0.00,0.16,0.00,0.16,0.00,0.16,0.00,
2013,South East,South East,0.14,70.36,0.13,65.46,0.14,60.90,0.13,66.35,
2013,South Scotland,South Scotland,0.14,85.77,0.13,72.38,0.14,81.95,0.13,77.64,
2013,South Wales,South Wales,0.14,85.95,0.14,63.18,0.15,47.84,0.14,66.27,
2013,South West,South West,0.15,69.16,0.14,64.27,0.15,63.56,0.14,65.45,
2013,Southern,Southern,0.14,82.34,0.13,63.60,0.15,49.22,0.13,66.67,
2013,West Midlands,West Midlands,0.14,59.14,0.13,59.03,0.14,57.40,0.14,58.79,
2013,Yorkshire,Yorkshire,0.14,57.07,0.13,58.15,0.14,58.03,0.13,57.80,
