Year,Region,LDZ area,Credit: Average variable unit price (£/kWh)[Note 1],Credit: Average fixed cost (£/year)[Note 2],Direct debit: Average variable unit price (£/kWh)[Note 1],Direct debit: Average fixed cost (£/year)[Note 2],Prepayment: Average variable unit price (£/kWh)[Note 1],Prepayment: Average fixed cost (£/year)[Note 2],Overall: Average variable unit price (£/kWh)[Note 1],Overall: Average fixed cost (£/year)[Note 2]
2010,Aberdeen,Northern Scotland ,0.0323,92.16,0.0310,70.13,0.0328,90.10,0.0316,79.51
2010,Birmingham,West Midlands,0.0320,109.61,0.0307,87.99,0.0320,108.20,0.0313,98.14
2010,Canterbury,South East,0.0321,105.39,0.0309,85.69,0.0319,105.54,0.0314,94.89
2010,Cardiff,South Wales,0.0320,97.71,0.0312,83.24,0.0345,94.30,0.0320,89.82
2010,Edinburgh,Southern Scotland,0.0323,92.16,0.0310,70.13,0.0328,90.10,0.0316,79.51
2010,Ipswich,Eastern,0.0319,103.44,0.0305,84.70,0.0321,102.40,0.0311,92.57
2010,Leeds,Yorkshire,0.0314,115.27,0.0302,90.93,0.0317,109.45,0.0308,101.85
2010,Liverpool,Merseyside & North Wales,0.0322,105.37,0.0310,84.20,0.0322,101.80,0.0315,93.28
2010,London,London,0.0321,110.08,0.0311,89.35,0.0320,107.79,0.0316,100.76
2010,Manchester,North West,0.0322,105.37,0.0310,84.20,0.0322,101.80,0.0315,93.28
2010,Newcastle,North East,0.0318,113.09,0.0302,87.58,0.0325,95.61,0.0310,96.42
2010,Nottingham,East Midlands,0.0317,108.11,0.0302,89.46,0.0319,106.87,0.0309,97.70
2010,Plymouth,South West,0.0320,105.57,0.0308,87.05,0.0318,104.11,0.0313,94.62
2010,Southampton,Southern,0.0323,100.93,0.0312,81.69,0.0322,101.98,0.0316,88.54
2010,United Kingdom,United Kingdom,0.0320,105.82,0.0308,84.94,0.0322,102.58,0.0314,94.09
2011,Aberdeen,Northern Scotland ,0.0351,110.78,0.0329,95.51,0.0345,116.17,0.0338,102.99
2011,Birmingham,West Midlands,0.0354,118.76,0.0332,102.52,0.0353,115.06,0.0342,109.54
2011,Canterbury,South East,0.0357,111.37,0.0336,97.49,0.0356,103.98,0.0345,102.79
2011,Cardiff,South Wales,0.0352,112.66,0.0333,100.21,0.0350,112.29,0.0342,106.13
2011,Edinburgh,Southern Scotland,0.0351,110.78,0.0329,95.51,0.0345,116.17,0.0338,102.99
2011,Ipswich,Eastern,0.0348,114.89,0.0330,99.94,0.0348,112.03,0.0337,105.87
2011,Leeds,Yorkshire,0.0348,122.19,0.0328,101.71,0.0350,116.34,0.0337,110.13
2011,Liverpool,Merseyside & North Wales,0.0350,116.59,0.0330,100.90,0.0348,115.42,0.0339,107.91
2011,London,London,0.0358,113.26,0.0339,100.10,0.0358,107.05,0.0349,106.44
2011,Manchester,North West,0.0350,116.59,0.0330,100.90,0.0348,115.42,0.0339,107.91
2011,Newcastle,North East,0.0344,123.28,0.0325,105.62,0.0347,111.71,0.0334,111.55
2011,Nottingham,East Midlands,0.0344,117.84,0.0325,101.47,0.0346,114.65,0.0334,108.25
2011,Plymouth,South West,0.0352,113.79,0.0333,100.11,0.0351,105.81,0.0341,104.79
2011,Southampton,Southern,0.0358,114.52,0.0336,100.30,0.0355,111.94,0.0343,105.01
2011,United Kingdom,United Kingdom,0.0352,115.50,0.0331,100.29,0.0351,112.09,0.0340,106.63
2012,Aberdeen,Northern Scotland ,0.0396,117.39,0.0369,98.77,0.0386,123.19,0.0379,107.75
2012,Birmingham,West Midlands,0.0401,128.60,0.0371,107.64,0.0397,120.35,0.0384,116.03
2012,Canterbury,South East,0.0405,119.16,0.0378,101.56,0.0399,109.26,0.0389,108.04
2012,Cardiff,South Wales,0.0399,121.02,0.0376,103.62,0.0396,117.85,0.0386,111.25
2012,Edinburgh,Southern Scotland,0.0396,117.39,0.0369,98.77,0.0386,123.19,0.0379,107.75
2012,Ipswich,Eastern,0.0394,124.59,0.0370,106.12,0.0393,118.98,0.0380,113.14
2012,Leeds,Yorkshire,0.0389,130.40,0.0363,105.96,0.0393,120.87,0.0375,115.46
2012,Liverpool,Merseyside & North Wales,0.0391,127.50,0.0366,107.67,0.0391,122.97,0.0377,115.93
2012,London,London,0.0404,120.53,0.0381,103.60,0.0401,112.77,0.0393,111.60
2012,Manchester,North West,0.0391,127.50,0.0366,107.67,0.0391,122.97,0.0377,115.93
2012,Newcastle,North East,0.0384,133.58,0.0361,110.39,0.0390,116.61,0.0372,117.73
2012,Nottingham,East Midlands,0.0387,127.67,0.0364,106.71,0.0394,120.68,0.0375,114.87
2012,Plymouth,South West,0.0401,122.42,0.0377,103.95,0.0398,111.76,0.0386,110.15
2012,Southampton,Southern,0.0405,127.96,0.0378,104.13,0.0398,117.59,0.0387,111.37
2012,United Kingdom,United Kingdom,0.0397,124.67,0.0371,104.96,0.0394,118.14,0.0382,112.74
2013,Aberdeen,Northern Scotland ,0.0432,103.22,0.0399,93.50,0.0438,100.03,0.0413,97.10
2013,Birmingham,West Midlands,0.0441,100.55,0.0407,91.63,0.0441,98.41,0.0421,95.10
2013,Canterbury,South East,0.0449,98.80,0.0415,91.63,0.0444,96.01,0.0434,95.27
2013,Cardiff,South Wales,0.0442,102.40,0.0405,94.36,0.0438,101.08,0.0422,97.84
2013,Edinburgh,Southern Scotland,0.0434,108.73,0.0398,94.10,0.0434,101.18,0.0414,99.12
2013,Ipswich,Eastern,0.0434,102.43,0.0404,81.12,0.0432,102.49,0.0415,89.47
2013,Leeds,Yorkshire,0.0440,103.44,0.0400,96.22,0.0440,100.05,0.0418,98.88
2013,Liverpool,Merseyside & North Wales,0.0450,99.57,0.0411,89.97,0.0440,96.87,0.0425,93.38
2013,London,London,0.0439,100.77,0.0399,92.33,0.0433,101.54,0.0416,96.20
2013,Manchester,North West,0.0443,100.69,0.0415,83.35,0.0437,99.46,0.0427,91.12
2013,Newcastle,North East,0.0446,99.77,0.0410,91.28,0.0438,96.61,0.0423,94.25
2013,Nottingham,East Midlands,0.0456,100.22,0.0421,86.73,0.0443,98.88,0.0432,91.47
2013,Plymouth,South West,0.0452,103.62,0.0409,92.99,0.0442,100.23,0.0427,97.23
2013,Southampton,Southern,0.0439,103.09,0.0398,90.84,0.0440,100.55,0.0417,95.97
2013,United Kingdom,United Kingdom,0.0444,101.75,0.0407,91.33,0.0439,99.45,0.0422,95.52
2014,Aberdeen,Northern Scotland ,0.0454,99.10,0.0414,86.20,0.0457,98.99,0.0430,91.41
2014,Birmingham,West Midlands,0.0465,98.09,0.0422,85.78,0.0465,97.55,0.0440,90.78
2014,Canterbury,South East,0.0478,96.25,0.0435,87.43,0.0475,95.68,0.0459,92.37
2014,Cardiff,South Wales,0.0464,98.06,0.0423,88.18,0.0464,96.65,0.0442,92.46
2014,Edinburgh,Southern Scotland,0.0453,99.57,0.0412,88.25,0.0453,98.18,0.0430,92.79
2014,Ipswich,Eastern,0.0459,98.10,0.0427,78.32,0.0455,98.35,0.0440,86.54
2014,Leeds,Yorkshire,0.0460,98.83,0.0417,89.10,0.0462,98.40,0.0437,93.31
2014,Liverpool,Merseyside & North Wales,0.0471,96.68,0.0427,85.80,0.0467,96.36,0.0444,89.91
2014,London,London,0.0461,97.44,0.0418,87.26,0.0457,96.94,0.0436,91.56
2014,Manchester,North West,0.0463,98.58,0.0434,78.37,0.0458,98.72,0.0446,87.66
2014,Newcastle,North East,0.0458,97.13,0.0423,85.35,0.0455,96.55,0.0437,89.93
2014,Nottingham,East Midlands,0.0479,97.50,0.0440,82.67,0.0475,97.48,0.0454,87.96
2014,Plymouth,South West,0.0468,98.65,0.0421,87.64,0.0467,98.16,0.0442,92.41
2014,Southampton,Southern,0.0463,98.99,0.0414,86.56,0.0465,98.53,0.0436,91.98
2014,United Kingdom,United Kingdom,0.0465,98.02,0.0423,85.99,0.0464,97.59,0.0441,91.08
