Inflation rate for restaurants and cafés rose to 8.2% in January 2024,,,,,,,,
"Restaurant and cafe annual CPIH inflation rates, UK",,,,,,,,
,,,,,,,,
Unit ,Percentage change over 12 months,,,,,,,
,,,,,,,,
Date ,Restaurants and cafés,,,,,,,
Oct-12,2.9,,,,,,,
Nov-12,3,,,,,,,
Dec-12,3,,,,,,,
Jan-13,2.9,,,,,,,
Feb-13,2.9,,,,,,,
Mar-13,2.8,,,,,,,
Apr-13,2.7,,,,,,,
May-13,2.7,,,,,,,
Jun-13,2.7,,,,,,,
Jul-13,2.6,,,,,,,
Aug-13,2.6,,,,,,,
Sep-13,2.8,,,,,,,
Oct-13,2.9,,,,,,,
Nov-13,2.8,,,,,,,
Dec-13,2.8,,,,,,,
Jan-14,2.8,,,,,,,
Feb-14,2.8,,,,,,,
Mar-14,2.9,,,,,,,
Apr-14,2.4,,,,,,,
May-14,2.3,,,,,,,
Jun-14,2.4,,,,,,,
Jul-14,2.5,,,,,,,
Aug-14,2.5,,,,,,,
Sep-14,2.3,,,,,,,
Oct-14,2.6,,,,,,,
Nov-14,2.4,,,,,,,
Dec-14,2.2,,,,,,,
Jan-15,2.1,,,,,,,
Feb-15,2.1,,,,,,,
Mar-15,2,,,,,,,
Apr-15,1.9,,,,,,,
May-15,1.8,,,,,,,
Jun-15,1.7,,,,,,,
Jul-15,1.6,,,,,,,
Aug-15,1.6,,,,,,,
Sep-15,1.6,,,,,,,
Oct-15,1.3,,,,,,,
Nov-15,1.2,,,,,,,
Dec-15,1.7,,,,,,,
Jan-16,1.8,,,,,,,
Feb-16,1.7,,,,,,,
Mar-16,1.9,,,,,,,
Apr-16,2.1,,,,,,,
May-16,2.2,,,,,,,
Jun-16,2.3,,,,,,,
Jul-16,2.3,,,,,,,
Aug-16,2.4,,,,,,,
Sep-16,2.5,,,,,,,
Oct-16,2.6,,,,,,,
Nov-16,2.8,,,,,,,
Dec-16,2.5,,,,,,,
Jan-17,2.6,,,,,,,
Feb-17,2.7,,,,,,,
Mar-17,2.8,,,,,,,
Apr-17,2.8,,,,,,,
May-17,2.9,,,,,,,
Jun-17,2.9,,,,,,,
Jul-17,3,,,,,,,
Aug-17,2.9,,,,,,,
Sep-17,3.1,,,,,,,
Oct-17,3.1,,,,,,,
Nov-17,3.1,,,,,,,
Dec-17,3.2,,,,,,,
Jan-18,3.2,,,,,,,
Feb-18,3,,,,,,,
Mar-18,2.8,,,,,,,
Apr-18,2.9,,,,,,,
May-18,2.8,,,,,,,
Jun-18,2.9,,,,,,,
Jul-18,2.8,,,,,,,
Aug-18,2.9,,,,,,,
Sep-18,2.7,,,,,,,
Oct-18,2.6,,,,,,,
Nov-18,2.6,,,,,,,
Dec-18,2.6,,,,,,,
Jan-19,2.6,,,,,,,
Feb-19,2.6,,,,,,,
Mar-19,2.7,,,,,,,
Apr-19,2.6,,,,,,,
May-19,2.6,,,,,,,
Jun-19,2.6,,,,,,,
Jul-19,2.7,,,,,,,
Aug-19,2.7,,,,,,,
Sep-19,2.7,,,,,,,
Oct-19,2.8,,,,,,,
Nov-19,2.9,,,,,,,
Dec-19,2.8,,,,,,,
Jan-20,2.9,,,,,,,
Feb-20,3,,,,,,,
Mar-20,2.9,,,,,,,
Apr-20,3,,,,,,,
May-20,2.8,,,,,,,
Jun-20,2.4,,,,,,,
Jul-20,3.4,,,,,,,
Aug-20,-2.6,,,,,,,
Sep-20,1,,,,,,,
Oct-20,1.2,,,,,,,
Nov-20,0.8,,,,,,,
Dec-20,1.3,,,,,,,
Jan-21,1.1,,,,,,,
Feb-21,0.9,,,,,,,
Mar-21,1,,,,,,,
Apr-21,0.8,,,,,,,
May-21,1.7,,,,,,,
Jun-21,2.5,,,,,,,
Jul-21,1.8,,,,,,,
Aug-21,8,,,,,,,
Sep-21,4.1,,,,,,,
Oct-21,5,,,,,,,
Nov-21,4.2,,,,,,,
Dec-21,4.1,,,,,,,
Jan-22,4.3,,,,,,,
Feb-22,4.5,,,,,,,
Mar-22,6,,,,,,,
Apr-22,7.5,,,,,,,
May-22,7.3,,,,,,,
Jun-22,7.4,,,,,,,
Jul-22,7.5,,,,,,,
Aug-22,8.3,,,,,,,
Sep-22,8.2,,,,,,,
Oct-22,7.9,,,,,,,
Nov-22,9.8,,,,,,,
Dec-22,10.1,,,,,,,
Jan-23,9.4,,,,,,,
Feb-23,11.4,,,,,,,
Mar-23,10.4,,,,,,,
Apr-23,9.4,,,,,,,
May-23,9.3,,,,,,,
Jun-23,9.1,,,,,,,
Jul-23,9,,,,,,,
Aug-23,8.8,,,,,,,
Sep-23,9.1,,,,,,,
Oct-23,8.8,,,,,,,
Nov-23,8.2,,,,,,,
Dec-23,7.7,,,,,,,
Jan-24,8.2,,,,,,,
