Date,Women's basket,Men's basket
02/04/2022,40.96,43.52
11/04/2022,40.99,43.95
18/04/2022,41.04,43.95
25/04/2022,41.21,44.29
02/05/2022,41.23,44.32
09/05/2022,41.65,44.84
16/05/2022,41.77,45.03
23/05/2022,41.79,44.98
30/05/2022,41.92,45.14
06/06/2022,42.12,45.51
13/06/2022,42.3,45.79
20/06/2022,42.61,46.1
27/06/2022,42.78,46.21
05/07/2022,43.15,46.54
11/07/2022,43.23,46.63
19/07/2022,43.86,47.93
25/07/2022,43.9,47.59
01/08/2022,44.27,47.63
08/08/2022,44.32,47.76
15/08/2022,44.34,47.8
22/08/2022,44.38,47.84
30/08/2022,44.38,47.83
05/09/2022,44.51,48.4
12/09/2022,44.79,48.79
20/09/2022,45.77,49.65
26/09/2022,46.19,49.97
03/10/2022,46.29,50.35
10/10/2022,46.38,49.93
17/10/2022,45.75,49.91
24/10/2022,46.59,49.67
31/10/2022,46.75,50.74
07/11/2022,46.84,50.75
15/11/2022,46.87,50.78
21/11/2022,47.13,50.68
28/11/2022,47.1,50.68
05/12/2022,47.09,51.09
12/12/2022,47.17,50.98
19/12/2022,47.16,50.81
27/12/2022,47.13,50.84
03/01/2023,47.38,50.95
09/01/2023,47.66,51.04
16/01/2023,47.77,51.39
23/01/2023,47.95,51.84
30/01/2023,48.11,52
06/02/2023,48.58,52.09
13/02/2023,49.34,53.26
20/02/2023,49.35,53.51
27/02/2023,49.87,53.67
06/03/2023,49.38,53.24
14/03/2023,49.77,53.33
20/03/2023,49.95,53.67
27/03/2023,49.99,53.33
03/04/2023,50.69,54.37
11/04/2023,50.68,54.72
17/04/2023,50.76,54.18
24/04/2023,50.72,54.18
02/05/2023,50.82,54.6
10/05/2023,51.14,54.79
15/05/2023,51.17,54.57
22/05/2023,51.23,54.88
30/05/2023,51.19,54.56
05/06/2023,51.21,54.88
13/06/2023,50.91,55.03
22/06/2023,50.94,55.15
26/06/2023,50.91,55.15
03/07/2023,50.81,54.97
10/07/2023,50.86,55.05
17/07/2023,50.7,55.01
24/07/2023,50.68,55
31/07/2023,50.7,55.06
07/08/2023,50.72,55.12
14/08/2023,50.73,55.21
21/08/2023,50.75,55.66
29/08/2023,50.95,55.66
04/09/2023,51.28,56.33
11/09/2023,50.71,55.43
18/09/2023,50.76,55.49
25/09/2023,50.86,55.37
02/10/2023,50.92,55.73
09/10/2023,51.39,55.73
17/10/2023,50.92,55.81
23/10/2023,51.12,56.6
30/10/2023,52.12,56.63
07/11/2023,51.42,56.14
13/11/2023,51.26,55.7
20/11/2023,50.68,55.12
27/11/2023,50.66,55.25
04/12/2023,50.64,55.18
11/12/2023,50.64,55.18
18/12/2023,50.67,55.23
02/01/2024,50.66,54.63
05/01/2024,50.74,54.58
08/01/2024,50.48,54.53
15/01/2024,50.7,54.54
22/01/2024,50.7,54.54
29/01/2024,50.74,54.58
13/02/2024,50.77,54.64
19/02/2024,50.78,54.65
26/02/2024,50.78,54.65
04/03/2024,50.83,54.68
11/03/2024,50.77,54.62
19/03/2024,50.77,54.62
26/03/2024,50.83,53.92
05/04/2024,50.83,55.1
08/04/2024,50.79,55.1
15/04/2024,50.7,54.93
23/04/2024,50.7,54.93
21/05/2024,50.78,54.62
21/06/2024,50.84,54.88
15/07/2024,51,55.23
19/08/2024,51.05,55.41
24/09/2024,51.35,55.61
30/09/2024,51.33,55.7
09/10/2024,51.33,55.7
16/10/2024,51.32,55.57
21/10/2024,51.32,55.57
05/11/2024,51.32,55.57
11/11/2024,51.32,55.57
20/11/2024,51.51,55.79
25/11/2024,51.49,55.79
02/12/2024,51.56,55.95
09/12/2024,51.56,55.95
16/12/2024,51.56,55.95
06/01/2025,51.59,55.78
14/01/2025,52.13,55.98
20/01/2025,52.13,55.98
27/01/2025,52.13,55.98
03/02/2025,52.13,55.98
10/02/2025,51.84,55.05
17/02/2025,51.93,55.67
24/02/2025,51.93,55.67
04/03/2025,52.1,56.15
10/03/2025,52.1,56.15
17/03/2025,52.19,56.15
24/03/2025,52.02,55.61
07/04/2025,52.02,55.61
16/04/2025,52.02,55.61
22/04/2025,52.18,56.07
28/04/2025,52.54,58.25
06/05/2025,52.61,56.62
12/05/2025,52.74,55.71
20/05/2025,51.81,55.79
27/05/2025,52.66,55.92
02/06/2025,52.69,55.92
10/06/2025,52.58,55.93
16/06/2025,52.55,56.04
24/06/2025,52.59,56.04
01/07/2025,52.75,56.27
08/07/2025,52.98,56.2
15/07/2025,52.98,56.23
21/07/2025,52.98,56.25
29/07/2025,53.28,56.25
05/08/2025,53.28,56.25
13/08/2025,53.23,56.37
19/08/2025,52.8,56.46
28/08/2025,52.25,56.52
02/09/2025,52.25,56.52
09/09/2025,52.98,56.52
16/09/2025,53.03,56.6
23/09/2025,53.03,56.87
30/09/2025,53.06,56.81
07/10/2025,52.44,56.81
14/10/2025,52.34,56.76
20/10/2025,52.19,56.66
27/10/2025,52.18,57.25
04/11/2025,52.15,57.24
11/11/2025,52.15,57.24
18/11/2025,52.15,57.24
24/11/2025,52.14,57.62
03/12/2025,52.33,57.98
09/12/2025,52.33,57.98
16/12/2025,52.33,57.98
22/12/2025,52.5,58.04
